,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
4,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
7,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
8,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
9,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
10,CMCSA,Comcast Corp Class A,미디어 및 출판,533020
11,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
12,INTC,Intel Corp,반도체 및 반도체 장비,571010
13,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
14,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
15,PEP,PepsiCo Inc,음료,541010
16,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
17,TMUS,T-Mobile US Inc,통신 서비스,574010
18,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
19,COST,Costco Wholesale Corp,다양한 소매업,534020
20,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
21,AZN,AstraZeneca PLC ADR,제약,562010
22,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
23,HON,Honeywell International Inc,복합 기업,544010
24,CHTR,Charter Communications Inc Class A,통신 서비스,574010
25,AMGN,Amgen Inc,제약,562010
26,SNY,Sanofi SA ADR,제약,562010
27,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
28,INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
29,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
30,JD,JD.Com Inc ADR,다양한 소매업,534020
31,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
32,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
33,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
34,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
35,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
36,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
37,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
38,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
39,GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
40,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
41,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
42,CME,CME Group Inc Class A,투자은행 및 서비스,551020
43,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
44,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
45,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
46,CSX,CSX Corp,화물 및 물류 서비스,524050
47,FISV,Fiserv Inc,전문 및 상업 서비스,522030
48,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
49,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
50,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
51,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
52,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
53,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
54,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
55,BIIB,Biogen Inc,제약,562010
56,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
57,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
58,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
59,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
60,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
61,VOD,Vodafone Group PLC ADR,통신 서비스,574010
62,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
63,KHC,Kraft Heinz Co,식품 및 담배,541020
64,MNST,Monster Beverage Corp,음료,541010
65,KDP,Keurig Dr Pepper Inc,음료,541010
66,KLAC,KLA Corp,반도체 및 반도체 장비,571010
67,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
68,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
69,COIN,Coinbase Global Inc Class A,핀테크,573010
70,ROKU,Roku Inc Class A,미디어 및 출판,533020
71,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
72,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
73,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
74,MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
75,EXC,Exelon Corp,전기 유틸리티,591010
76,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
77,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
78,TROW,T Rowe Price Group Inc,투자은행 및 서비스,551020
79,ROST,Ross Stores Inc,전문품 상점,534030
80,AEP,American Electric Power Company Inc,전기 유틸리티,591010
81,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
82,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
83,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
84,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
85,ALXN,Alexion Pharmaceuticals Inc,제약,562010
86,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
87,ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
88,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
89,CTAS,Cintas Corp,전문 및 상업 서비스,522030
90,PAYX,Paychex Inc,전문 및 상업 서비스,522030
91,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
92,XEL,Xcel Energy Inc,전기 유틸리티,591010
93,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
94,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
95,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
96,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
97,TSCAP,TriState Capital Holdings Inc ADR,은행,551010
98,XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
99,PTON,Peloton Interactive Inc Class A,레저 상품,532050
100,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
101,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
102,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
103,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
104,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
105,CPRT,Copart Inc,전문품 상점,534030
106,WLTW,Willis Towers Watson PLC,보험,553010
107,SIVB,SVB Financial Group,은행,551010
108,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
109,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
110,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
111,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
112,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
113,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
114,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
115,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
116,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
117,LI,Li Auto Inc ADR,자동차 및 자동차 부품,531010
118,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
119,MXIM,Maxim Integrated Products Inc,반도체 및 반도체 장비,571010
120,GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020
